IR, RED,X,Y,Z, heart_rate, respiration_rate, SPO2,Activity
117849,103387,0.030024,-0.03703,1.035842,75,16.66666667,80.27467342,5.00E+00
117983,103098,0.02502,-0.038031,1.035842,75,16.66666667,80.27467342,5.00E+00
118749,103250,0.030024,-0.040033,1.03384,75,16.66666667,80.27467342,5.00E+00
119659,103618,0.031025,-0.040033,1.032839,75,16.66666667,80.27467342,5.00E+00
114546,101905,0.033027,-0.03703,1.031838,75,16.66666667,80.27467342,4.00E+00
114337,101595,0.028023,-0.035028,1.034841,75,16.66666667,80.27467342,5.00E+00
115384,101863,0.031025,-0.03703,1.038844,75,16.66666667,80.27467342,5.00E+00
115751,102026,0.033027,-0.03703,1.036842,75,16.66666667,80.2393778,3.00E+00
115938,102148,0.026021,-0.040033,1.03384,75,16,80.2393778,5.00E+00
115878,102126,0.027022,-0.039032,1.029837,75,16,80.2393778,5.00E+00
115828,102104,0.032026,-0.03703,1.032839,75,16,80.2393778,4.00E+00
116019,102124,0.031025,-0.03703,1.032839,75,16,80.2393778,5.00E+00
116249,102198,0.032026,-0.039032,1.03384,75,16,80.2393778,3.00E+00
116577,102309,0.026021,-0.035028,1.031838,75,16,80.2393778,5.00E+00
116879,102403,0.035028,-0.034028,1.035842,75,16,80.2393778,5.00E+00
117276,102527,0.032026,-0.038031,1.034841,75,16,80.2393778,3.00E+00
117541,102626,0.030024,-0.035028,1.030838,75,16,80.2393778,5.00E+00
117648,102704,0.027022,-0.036029,1.031838,75,16,80.2393778,5.00E+00
115254,102359,0.035028,-0.035028,1.035842,75,16,80.2393778,5.00E+00
113755,101343,0.029024,-0.039032,1.029837,75,16,80.2393778,5.00E+00
113346,101044,0.033027,-0.041033,1.036842,75,16,80.2393778,4.00E+00
113465,101034,0.028023,-0.036029,1.036842,75,16,80.2393778,5.00E+00
113654,101083,0.032026,-0.036029,1.03384,75,16,80.2393778,4.00E+00
113952,101123,0.035028,-0.036029,1.036842,75,16,80.17554726,5.00E+00
114355,101281,0.033027,-0.038031,1.034841,75,16,80.17554726,3.00E+00
114523,101368,0.032026,-0.039032,1.029837,75,16,80.17554726,4.00E+00
114525,101364,0.034028,-0.039032,1.032839,75,16,80.17554726,3.00E+00
114631,101361,0.029024,-0.03703,1.030838,75,16,80.17554726,5.00E+00
114894,101408,0.032026,-0.03703,1.032839,75,16,80.17554726,4.00E+00
115239,101514,0.034028,-0.033027,1.03384,75,16,80.17554726,5.00E+00
115679,101677,0.029024,-0.038031,1.032839,75,16,80.17554726,5.00E+00
116102,101819,0.02402,-0.038031,1.036842,75,16,80.17554726,5.00E+00
116528,101969,0.030024,-0.03703,1.029837,75,16,80.17554726,5.00E+00
116885,102101,0.036029,-0.038031,1.03384,75,16,80.17554726,4.00E+00
117066,102208,0.034028,-0.035028,1.035842,75,16,80.17554726,4.00E+00
114828,102014,0.029024,-0.035028,1.029837,75,16,80.17554726,5.00E+00
112675,100793,0.033027,-0.032026,1.039845,75,16,80.17554726,5.00E+00
112299,100439,0.033027,-0.039032,1.038844,75,16,80.17554726,3.00E+00
112419,100438,0.033027,-0.041033,1.036842,75,16,80.17554726,4.00E+00
112682,100511,0.02502,-0.03703,1.035842,75,16,79.85764459,5.00E+00
113098,100615,0.026021,-0.031025,1.025833,75,16,79.85764459,5.00E+00
113730,100833,0.036029,-0.040033,1.037843,75,16,79.85764459,3.00E+00
114044,101033,0.036029,-0.03703,1.042847,75,16,79.85764459,5.00E+00
114138,101088,0.029024,-0.031025,1.034841,75,16,79.85764459,5.00E+00
114242,101109,0.029024,-0.036029,1.030838,75,16,79.85764459,5.00E+00
114443,101176,0.032026,-0.039032,1.03384,75,16,79.85764459,3.00E+00
114776,101259,0.035028,-0.03703,1.035842,75,16,79.85764459,4.00E+00
115127,101380,0.028023,-0.038031,1.034841,75,16,79.85764459,5.00E+00
115372,101489,0.026021,-0.033027,1.029837,75,16,79.85764459,5.00E+00
115640,101550,0.033027,-0.034028,1.029837,75,16,79.85764459,5.00E+00
115945,101667,0.038031,-0.033027,1.032839,75,16,79.85764459,5.00E+00
116156,101776,0.028023,-0.03703,1.03384,75,16,79.85764459,5.00E+00
113872,101514,0.031025,-0.038031,1.029837,75,16,79.85764459,5.00E+00
112353,100507,0.03703,-0.038031,1.034841,75,16,79.85764459,5.00E+00
111941,100249,0.035028,-0.03703,1.036842,75,16,79.85764459,4.00E+00
111994,100219,0.033027,-0.033027,1.036842,60,16,76.16403081,5.00E+00
112118,100240,0.031025,-0.031025,1.03384,60,16,76.16403081,5.00E+00
112427,100308,0.032026,-0.035028,1.038844,60,16,76.16403081,4.00E+00
112866,100462,0.033027,-0.036029,1.037843,60,16,76.16403081,4.00E+00
113025,100591,0.032026,-0.034028,1.038844,60,16,76.16403081,5.00E+00
113012,100590,0.031025,-0.033027,1.037843,60,16,76.16403081,5.00E+00
113129,100618,0.029024,-0.03703,1.034841,60,16,76.16403081,5.00E+00
